apc-a1	modul-arab-syam-101-id	drive-download-20260922/LEVANTINE ARABIC A1.png
cs-a1	cestina-101-a1-id	drive-download-20260922/CZECH A1.png
zh-tw-a1	modul-taiwan-101-id	drive-download-20260922/TAIWANESE A1.png
mn-a1	modul-mongolia-101-id	drive-download-20260922/MONGOLIAN A1.png
la-a1	latina-101-a1-id	drive-download-20260922/LATIN A1.png
ar-eg-a1	modul-arab-mesir-101-id	drive-download-20260922/EGYPTIAN ARABIC A1.png
ps-a1	modul-pashto-101-id	drive-download-20260922/PASHTO A1.png
